indicator,severity,description,source_feed,reference,type
mywebh.kro.kr,HIGH,"URLhaus: malware_download (botnetdomain,censys,elf,mirai,opendir,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550873/,domain
mywebh.kro.kr,HIGH,"URLhaus: malware_download (botnetdomain,censys,elf,mirai,opendir,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550874/,domain
mywebh.kro.kr,HIGH,"URLhaus: malware_download (botnetdomain,censys,elf,mirai,opendir,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550875/,domain
mywebh.kro.kr,HIGH,"URLhaus: malware_download (botnetdomain,censys,elf,mirai,opendir,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550876/,domain
mywebh.kro.kr,HIGH,"URLhaus: malware_download (botnetdomain,censys,mirai,sh,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550877/,domain
mywebh.kro.kr,HIGH,"URLhaus: malware_download (botnetdomain,censys,elf,mirai,opendir,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550866/,domain
mywebh.kro.kr,HIGH,"URLhaus: malware_download (botnetdomain,censys,elf,mirai,opendir,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550867/,domain
mywebh.kro.kr,HIGH,"URLhaus: malware_download (botnetdomain,censys,elf,mirai,opendir,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550868/,domain
mywebh.kro.kr,HIGH,"URLhaus: malware_download (botnetdomain,censys,elf,mirai,opendir,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550869/,domain
mywebh.kro.kr,HIGH,"URLhaus: malware_download (botnetdomain,censys,elf,mirai,opendir,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550863/,domain
mywebh.kro.kr,HIGH,"URLhaus: malware_download (botnetdomain,censys,elf,mirai,opendir,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550865/,domain
github.com,HIGH,URLhaus: malware_download (None),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550846/,domain
github.com,HIGH,URLhaus: malware_download (None),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550845/,domain
khavar.com,HIGH,"URLhaus: malware_download (ascii,base64-loader,Encoded,rat,RemcosRAT)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550710/,domain
kgaming.ddns.net,HIGH,URLhaus: malware_download (exe),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550706/,domain
busybox.net,HIGH,URLhaus: malware_download (mirai),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550583/,domain
raw.githubusercontent.com,HIGH,URLhaus: malware_download (RemcosRAT),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550544/,domain
raw.githubusercontent.com,HIGH,URLhaus: malware_download (njRAT),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3550525/,domain
