indicator,severity,description,source_feed,reference,type
141.98.11.175,HIGH,"URLhaus: malware_download (elf,mirai,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556199/,ip
141.98.11.175,HIGH,"URLhaus: malware_download (elf,mirai,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556200/,ip
141.98.11.175,HIGH,"URLhaus: malware_download (elf,mirai,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556203/,ip
141.98.11.175,HIGH,"URLhaus: malware_download (elf,mirai,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556204/,ip
4.233.216.36,HIGH,URLhaus: malware_download (None),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556178/,ip
4.233.216.36,HIGH,URLhaus: malware_download (None),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556171/,ip
4.233.216.36,HIGH,URLhaus: malware_download (Metasploit),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556172/,ip
4.233.216.36,HIGH,URLhaus: malware_download (Metasploit),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556173/,ip
4.233.216.36,HIGH,URLhaus: malware_download (Metasploit),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556174/,ip
4.233.216.36,HIGH,URLhaus: malware_download (Metasploit),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556175/,ip
4.233.216.36,HIGH,URLhaus: malware_download (None),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556176/,ip
4.233.216.36,HIGH,URLhaus: malware_download (None),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556167/,ip
4.233.216.36,HIGH,URLhaus: malware_download (None),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556168/,ip
4.233.216.36,HIGH,URLhaus: malware_download (None),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556169/,ip
4.233.216.36,HIGH,URLhaus: malware_download (None),URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556170/,ip
176.65.137.60,HIGH,"URLhaus: malware_download (elf,gafgyt,ua-wget)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3556161/,ip
