indicator,severity,description,source_feed,reference
web.archive.org,HIGH,"Domain hosting: URLhaus: malware_download (154.216.19.139,elf)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3097239/
web.archive.org,HIGH,"Domain hosting: URLhaus: malware_download (154.216.19.139,elf)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3097240/
web.archive.org,HIGH,"Domain hosting: URLhaus: malware_download (154.216.19.139,elf)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3097241/
web.archive.org,HIGH,"Domain hosting: URLhaus: malware_download (154.216.19.139,elf)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3097242/
web.archive.org,HIGH,"Domain hosting: URLhaus: malware_download (154.216.19.139,elf)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3097243/
web.archive.org,HIGH,"Domain hosting: URLhaus: malware_download (154.216.19.139,elf)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3097229/
web.archive.org,HIGH,"Domain hosting: URLhaus: malware_download (154.216.19.139,elf)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3097230/
web.archive.org,HIGH,"Domain hosting: URLhaus: malware_download (154.216.19.139,elf)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3097231/
web.archive.org,HIGH,"Domain hosting: URLhaus: malware_download (154.216.19.139,elf)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3097232/
web.archive.org,HIGH,"Domain hosting: URLhaus: malware_download (154.216.19.139,elf)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3097233/
web.archive.org,HIGH,"Domain hosting: URLhaus: malware_download (154.216.19.139,elf)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3097234/
web.archive.org,HIGH,"Domain hosting: URLhaus: malware_download (154.216.19.139,elf)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3097235/
web.archive.org,HIGH,"Domain hosting: URLhaus: malware_download (154.216.19.139,elf)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3097236/
web.archive.org,HIGH,"Domain hosting: URLhaus: malware_download (154.216.19.139,elf)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3097237/
web.archive.org,HIGH,"Domain hosting: URLhaus: malware_download (154.216.19.139,elf)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3097238/
gdx.o7lab.me,HIGH,"Domain hosting: URLhaus: malware_download (CoinMiner,exe,VenomRAT)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3088641/
tengfeidn.com,HIGH,"Domain hosting: URLhaus: malware_download (BlackMoon,exe)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3086848/
tengfeidn.com,HIGH,"Domain hosting: URLhaus: malware_download (BlackMoon,exe)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3086847/
sgz-1302338321.cos.ap-guangzhou.myqcloud.com,HIGH,"Domain hosting: URLhaus: malware_download (32,BlackMoon,CoinMiner,exe)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3083844/
raw.githubusercontent.com,HIGH,"Domain hosting: URLhaus: malware_download (ddfcbb9325637bcdeff,wshrat)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3072990/
github.com,HIGH,"Domain hosting: URLhaus: malware_download (ddfcbb9325637bcdeff,wshrat)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3072974/
github.com,HIGH,"Domain hosting: URLhaus: malware_download (ddfcbb9325637bcdeff,wshrat)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3072975/
github.com,HIGH,"Domain hosting: URLhaus: malware_download (ddfcbb9325637bcdeff,wshrat)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3072978/
raw.githubusercontent.com,HIGH,"Domain hosting: URLhaus: malware_download (ddfcbb9325637bcdeff,wshrat)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3072969/
raw.githubusercontent.com,HIGH,"Domain hosting: URLhaus: malware_download (ddfcbb9325637bcdeff,wshrat)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3072970/
github.com,HIGH,"Domain hosting: URLhaus: malware_download (ddfcbb9325637bcdeff,wshrat)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3072971/
raw.githubusercontent.com,HIGH,"Domain hosting: URLhaus: malware_download (ddfcbb9325637bcdeff,wshrat)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3072972/
github.com,HIGH,"Domain hosting: URLhaus: malware_download (ddfcbb9325637bcdeff,wshrat)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3072973/
campingkaymakis.ath.forthnet.gr,HIGH,"Domain hosting: URLhaus: malware_download (elf,hajime)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3046538/
oys0ro.static.otenet.gr,HIGH,"Domain hosting: URLhaus: malware_download (elf,hajime)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3046534/
dist.eda1.ru,HIGH,"Domain hosting: URLhaus: malware_download (32,exe,GuLoader)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/3044431/
www999999safagqwhg-1327129302.cos.ap-chengdu.myqcloud.com,HIGH,"Domain hosting: URLhaus: malware_download (32,exe)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/2949407/
www999999asgasg-1327129302.cos.ap-chengdu.myqcloud.com,HIGH,"Domain hosting: URLhaus: malware_download (32,exe)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/2949176/
vodomer-service.ru,HIGH,"Domain hosting: URLhaus: malware_download (agent,js)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/2947781/
raw.githubusercontent.com,HIGH,"Domain hosting: URLhaus: malware_download (payloads,PrivateLoader,RiseProStealer)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/2944285/
github.com,HIGH,"Domain hosting: URLhaus: malware_download (exe,trojan)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/2934823/
github.com,HIGH,"Domain hosting: URLhaus: malware_download (exe,trojan)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/2934824/
github.com,HIGH,"Domain hosting: URLhaus: malware_download (exe,Ransomware)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/2934818/
github.com,HIGH,"Domain hosting: URLhaus: malware_download (exe,trojan)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/2934819/
github.com,HIGH,"Domain hosting: URLhaus: malware_download (exe,trojan)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/2934820/
github.com,HIGH,"Domain hosting: URLhaus: malware_download (exe,trojan)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/2934821/
github.com,HIGH,"Domain hosting: URLhaus: malware_download (exe,trojan)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/2934822/
github.com,HIGH,"Domain hosting: URLhaus: malware_download (exe,trojan)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/2934816/
github.com,HIGH,"Domain hosting: URLhaus: malware_download (exe,RedLineStealer,trojan)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/2934817/
github.com,HIGH,"Domain hosting: URLhaus: malware_download (exe,Hive,Ransomware)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/2934811/
github.com,HIGH,"Domain hosting: URLhaus: malware_download (exe,Ransomware)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/2934812/
github.com,HIGH,"Domain hosting: URLhaus: malware_download (exe,Ransomware,Troldesh)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/2934813/
github.com,HIGH,"Domain hosting: URLhaus: malware_download (exe,petya,Ransomware)",URLhaus (abuse.ch),https://urlhaus.abuse.ch/url/2934808/
